ID;order_ID;aircraft_reg;tail_registration;delivery_number;delivery_date;delivery_time;delivered_quantity;uom_code;temperature;density;temperature_corrected_qty;fob_at_arrival_kg;fob_before_kg;fob_after_kg;fob_delta_kg;ground_burn_kg;fob_source;fob_rounding_kg;recon_variance_kg;recon_status;supplier_count;delivery_method;vehicle_id;driver_name;pilot_name;ground_crew_name;s4_gr_number;s4_gr_year;s4_gr_item;status;quantity_variance;variance_percentage;variance_flag;variance_reason;refuel_start_utc;refuel_end_utc;refuel_complete;created_at;created_by;modified_at;modified_by
a7b8c9d0-7777-4000-8000-00000000A001;f6a7b8c9-6666-4000-8000-00000000A005;C-FITU;C-FITU;EPD-YYZ-20260325-001;2026-03-25;19:45:00;67800.00;KG;15.2;0.8020;68150.00;;;;;;NONE;0;;NOT_RECONCILED;;;BW-YYZ-012;Mike Thompson;Capt. R. Leblanc;Sarah Chen;;;0001;Pending;-200.00;-0.29;false;;;;;2026-03-25T19:30:00Z;station.yyz@airline.com;2026-03-25T20:20:00Z;station.yyz@airline.com
a7b8c9d0-7777-4000-8000-00000000A002;f6a7b8c9-6666-4000-8000-00000000A006;C-FITU;C-FITU;EPD-LHR-20260325-001;2026-03-25;10:30:00;63800.00;KG;12.8;0.8015;64200.00;;;;;;NONE;0;;NOT_RECONCILED;;;BW-LHR-005;James Wilson;Capt. R. Leblanc;David Brown;5000100001;2026;0001;Posted;-200.00;-0.31;false;;;;;2026-03-25T10:00:00Z;station.lhr@airline.com;2026-03-25T11:30:00Z;SYSTEM
a7b8c9d0-7777-4000-8000-00000000A003;f6a7b8c9-6666-4000-8000-00000000A007;C-GROV;C-GROV;EPD-YYZ-20260324-001;2026-03-24;06:30:00;2180.00;KG;10.5;0.8030;2195.00;;;;;;NONE;0;;NOT_RECONCILED;;;BW-YYZ-003;Tom Richards;Capt. L. Tremblay;Anna Lee;5000100002;2026;0001;Posted;-20.00;-0.91;false;;;;;2026-03-24T06:15:00Z;station.yyz@airline.com;2026-03-24T07:15:00Z;SYSTEM
17b8c9d0-7777-4000-8000-000000006001;f6a7b8c9-6666-4000-8000-000000006003;RP-C8803;RP-C8803;EPD-CEB-20260402-0001;2026-04-02;06:30:00;60000.00;KG;28.5;0.8010;;;;;;;NONE;0;;NOT_RECONCILED;;;;;;;;;;Verified;0.00;0.00;false;;;;;2026-04-01T00:00:00Z;WP06_SEED;2026-04-01T00:00:00Z;WP06_SEED
17b8c9d0-7777-4000-8000-000000006002;f6a7b8c9-6666-4000-8000-000000006004;RP-C8801;RP-C8801;EPD-MNL-20260401-0001;2026-04-01;19:40:00;12000.00;KG;30.1;0.7995;;;;;;;NONE;0;;NOT_RECONCILED;;;;;;;;;;Verified;0.00;0.00;false;;;;;2026-04-01T00:00:00Z;WP06_SEED;2026-04-01T00:00:00Z;WP06_SEED
17b8c9d0-7777-4000-8000-000000006003;f6a7b8c9-6666-4000-8000-000000006005;C-FITU;C-FITU;EPD-YYZ-20260403-0001;2026-04-03;09:30:00;21600.00;KG;12.0;0.8020;;;;;;;NONE;0;;NOT_RECONCILED;;;;;;;;;;Disputed;1600.00;8.00;true;EPD401 - delivered quantity exceeds ordered by more than 5%;;;;2026-04-01T00:00:00Z;WP06_SEED;2026-04-01T00:00:00Z;WP06_SEED
17b8c9d0-7777-4000-8000-000000001201;f6a7b8c9-6666-4000-8000-000000006003;RP-C8803;RP-C8803;EPD-CEB-20260405-0001;2026-04-05;06:30:00;24000.00;LTR;28.50;0.8020;;22850.00;22000.00;41200.00;19200.00;850.00;ACARS;0;;NOT_RECONCILED;1;REF;;;;;;;;Verified;;;false;;;;;2026-04-05T00:00:00Z;WP12_SEED;2026-04-05T00:00:00Z;WP12_SEED
17b8c9d0-7777-4000-8000-000000001202;f6a7b8c9-6666-4000-8000-000000006004;RP-C8801;RP-C8801;EPD-MNL-20260405-0001;2026-04-05;19:40:00;6000.00;LTR;30.10;0.7995;;;8400.00;13200.00;4800.00;;CREW_REPORTED;100;;NOT_RECONCILED;1;HYD;;;;;;;;Verified;;;false;;;;;2026-04-05T00:00:00Z;WP12_SEED;2026-04-05T00:00:00Z;WP12_SEED
27b8c9d0-7777-4000-8000-000000001701;f6a7b8c9-6666-4000-8000-000000006001;RP-C8801;RP-C8801;EPD-MNL-20260407-0001;2026-04-07;08:00:00;15000.00;LTR;28.00;0.8020;;;20000.00;31910.00;11910.00;;ACARS;0;;NOT_RECONCILED;1;REF;;;;;;;;Verified;;;false;;;;;2026-04-07T00:00:00Z;WP17_SEED;2026-04-07T00:00:00Z;WP17_SEED
27b8c9d0-7777-4000-8000-000000001702;f6a7b8c9-6666-4000-8000-000000006001;RP-C8802;RP-C8802;EPD-MNL-20260407-0002;2026-04-07;09:00:00;15000.00;LTR;28.00;0.8020;;;20000.00;31910.00;11910.00;;CREW_REPORTED;100;;NOT_RECONCILED;1;REF;;;;;;;;Verified;;;false;;;;;2026-04-07T00:00:00Z;WP17_SEED;2026-04-07T00:00:00Z;WP17_SEED
