ID;dispatch_order_id;flight_number;flight_date;flight_schedule_ID;fuel_order_ID;tail_number;captain_id;dispatcher_id;atd;ata;atd_local;ata_local;std_gst;sta_gst;atd_gst;ata_gst;dispatch_timestamp;dispatch_qty_kg;trip_fuel_kg;contingency_fuel_kg;alternate_fuel_kg;final_reserve_kg;additional_fuel_kg;taxi_fuel_kg;extra_fuel_kg;block_fuel_kg;required_uplift_kg;plan_group_id;plan_version;plan_version_source;plan_status;superseded_by_ID;version_gap_flag;versions_skipped;rob_departure_kg;payload_kg;payload_plan_kg;arrival_rob_plan_kg;flight_level;wind_component;alternate_airport;dispatch_source;ofplan_reference;remarks;created_at;created_by;modified_at;modified_by
ac000000-0000-4000-8000-000000000001;FO-AC-2026-00301;AC301;2026-03-26;e5f6a7b8-5555-4000-8000-00000000A005;f6a7b8c9-6666-4000-8000-00000000A002;C-GHPQ;CAP-AC501;DSP-AC101;2026-03-26T18:35:00Z;;2026-03-26T14:35:00-04:00;;2026-03-26T22:25:00+04:00;;2026-03-26T22:35:00+04:00;;2026-03-26T17:30:00Z;48000.00;36720.00;2400.00;3840.00;2880.00;960.00;720.00;480.00;48000.00;;AC301-20260326-YYZ;1;ASSIGNED;ACTIVE;;false;0;8200.00;24500.00;24650.00;5760.00;390;-20.5;YUL;TRIPRECORD;OFP-AC301-20260326;Long haul YYZ-CDG AC301;2026-03-26T17:30:00Z;SYSTEM;2026-03-26T17:30:00Z;SYSTEM
ac000000-0000-4000-8000-000000000002;FO-AC-2026-00101;AC101;2026-03-25;e5f6a7b8-5555-4000-8000-00000000A002;f6a7b8c9-6666-4000-8000-00000000A005;C-FITU;CAP-AC201;DSP-AC102;2026-03-25T20:35:00Z;;2026-03-25T16:35:00-04:00;;2026-03-26T00:20:00+04:00;;2026-03-26T00:35:00+04:00;;2026-03-25T19:30:00Z;82000.00;62730.00;4100.00;6560.00;4920.00;1640.00;1230.00;820.00;82000.00;;AC101-20260325-YYZ;1;ASSIGNED;ACTIVE;;false;0;14000.00;28000.00;28150.00;9840.00;400;-25.3;YUL;TRIPRECORD;OFP-AC101-20260325;Long haul YYZ-LHR AC101;2026-03-25T19:30:00Z;SYSTEM;2026-03-25T19:30:00Z;SYSTEM
ac000000-0000-4000-8000-000000000003;FO-AC-2026-00102;AC102;2026-03-25;e5f6a7b8-5555-4000-8000-00000000A003;f6a7b8c9-6666-4000-8000-00000000A006;C-FITU;CAP-AC201;DSP-AC103;2026-03-25T11:08:00Z;2026-03-25T14:05:00Z;2026-03-25T11:08:00+00:00;2026-03-25T10:05:00-04:00;2026-03-25T14:55:00+04:00;2026-03-25T17:50:00+04:00;2026-03-25T15:08:00+04:00;2026-03-25T18:05:00+04:00;2026-03-25T10:00:00Z;80000.00;61200.00;4000.00;6400.00;4800.00;1600.00;1200.00;800.00;80000.00;;AC102-20260325-LHR;1;ASSIGNED;ACTIVE;;false;0;16000.00;27500.00;27650.00;9600.00;400;18.7;SNN;TRIPRECORD;OFP-AC102-20260325;Return LHR-YYZ AC102;2026-03-25T10:00:00Z;SYSTEM;2026-03-25T14:10:00Z;SYSTEM
ac000000-0000-4000-8000-000000000004;FO-AC-2026-00401;AC401;2026-03-25;e5f6a7b8-5555-4000-8000-00000000A007;f6a7b8c9-6666-4000-8000-00000000A004;C-GHPX;CAP-AC301;DSP-AC104;2026-03-25T13:35:00Z;;2026-03-25T06:35:00-07:00;;2026-03-25T17:30:00+04:00;;2026-03-25T17:35:00+04:00;;2026-03-25T12:30:00Z;65000.00;49725.00;3250.00;5200.00;3900.00;1300.00;975.00;650.00;65000.00;;AC401-20260325-YVR;1;ASSIGNED;ACTIVE;;false;0;9500.00;25000.00;25150.00;7800.00;390;-15.8;ANC;TRIPRECORD;OFP-AC401-20260325;Transpacific YVR-NRT AC401;2026-03-25T12:30:00Z;SYSTEM;2026-03-25T13:35:00Z;SYSTEM
ac000000-0000-4000-8000-000000000005;FO-AC-2026-00501;AC501;2026-03-26;e5f6a7b8-5555-4000-8000-00000000A009;f6a7b8c9-6666-4000-8000-00000000A003;C-GFAH;CAP-AC401;DSP-AC105;2026-03-26T09:05:00Z;2026-03-26T13:15:00Z;2026-03-26T05:05:00-04:00;2026-03-26T09:15:00-04:00;2026-03-26T13:00:00+04:00;2026-03-26T17:10:00+04:00;2026-03-26T13:05:00+04:00;2026-03-26T17:15:00+04:00;2026-03-26T08:00:00Z;15000.00;11475.00;750.00;1200.00;900.00;300.00;225.00;150.00;15000.00;;AC501-20260326-YYZ;1;ASSIGNED;ACTIVE;;false;0;4800.00;18500.00;18650.00;1800.00;360;-8.2;MCO;TRIPRECORD;OFP-AC501-20260326;YYZ-FLL AC501;2026-03-26T08:00:00Z;SYSTEM;2026-03-26T08:00:00Z;SYSTEM
ac000000-0000-4000-8000-000000000006;FO-AC-2026-00601;AC601;2026-03-24;e5f6a7b8-5555-4000-8000-00000000A011;f6a7b8c9-6666-4000-8000-00000000A007;C-GROV;CAP-AC501;DSP-AC106;2026-03-24T07:05:00Z;2026-03-24T08:08:00Z;2026-03-24T03:05:00-04:00;2026-03-24T04:08:00-04:00;2026-03-24T11:00:00+04:00;2026-03-24T12:00:00+04:00;2026-03-24T11:05:00+04:00;2026-03-24T12:08:00+04:00;2026-03-24T06:30:00Z;2200.00;1683.00;110.00;176.00;132.00;44.00;33.00;22.00;2200.00;;AC601-20260324-YYZ;1;ASSIGNED;ACTIVE;;false;0;0.00;12000.00;12150.00;264.00;290;-5.0;YOW;TRIPRECORD;OFP-AC601-20260324;Short haul YYZ-YUL AC601;2026-03-24T06:30:00Z;SYSTEM;2026-03-24T08:15:00Z;SYSTEM
ac000000-0000-4000-8000-000000000007;FO-AC-2026-00602;AC602;2026-03-24;e5f6a7b8-5555-4000-8000-00000000A012;f6a7b8c9-6666-4000-8000-00000000A007;C-GROV;CAP-AC501;DSP-AC106;2026-03-24T09:35:00Z;2026-03-24T10:38:00Z;2026-03-24T05:35:00-04:00;2026-03-24T06:38:00-04:00;2026-03-24T13:30:00+04:00;2026-03-24T14:30:00+04:00;2026-03-24T13:35:00+04:00;2026-03-24T14:38:00+04:00;2026-03-24T09:00:00Z;2200.00;1683.00;110.00;176.00;132.00;44.00;33.00;22.00;2200.00;;AC602-20260324-YUL;1;ASSIGNED;ACTIVE;;false;0;800.00;11500.00;11650.00;264.00;290;3.2;YOW;TRIPRECORD;OFP-AC602-20260324;Return YUL-YYZ AC602;2026-03-24T09:00:00Z;SYSTEM;2026-03-24T10:45:00Z;SYSTEM
ac000000-0000-4000-8000-0000000d0001;FO-AC-2026-410;AC410;2026-04-10;e5f6a7b8-5555-4000-8000-0000000d0001;f6a7b8c9-6666-4000-8000-0000000d0001;C-FDMO;CAP-AC221;DSP-AC101;2026-04-10T07:15:00Z;;;;;;;;2026-04-10T07:00:00Z;4803.00;3674.29;240.15;384.24;288.18;96.06;72.05;48.03;4803.00;;AC410-20260410-YYZ;1;ASSIGNED;ACTIVE;;false;0;6700.00;;;;;;YOW;TRIPRECORD;OFP-AC410-20260410;Clean uplift, one bowser. The absolute floor governs.;2026-04-10T00:00:00Z;WPDEMO01_SEED;2026-04-10T00:00:00Z;WPDEMO01_SEED
ac000000-0000-4000-8000-0000000d0002;FO-AC-2026-856;AC856;2026-04-10;e5f6a7b8-5555-4000-8000-0000000d0002;f6a7b8c9-6666-4000-8000-0000000d0002;C-GDMS;CAP-AC221;DSP-AC101;2026-04-10T21:40:00Z;;;;;;;;2026-04-10T21:00:00Z;61700.00;47200.50;3085.00;4936.00;3702.00;1234.00;925.50;617.00;61700.00;;AC856-20260410-YYZ;1;ASSIGNED;ACTIVE;;false;0;66300.00;;;;;;LGW;TRIPRECORD;OFP-AC856-20260410;Two bowsers, one gauge pair. The percentage governs.;2026-04-10T00:00:00Z;WPDEMO01_SEED;2026-04-10T00:00:00Z;WPDEMO01_SEED
ac000000-0000-4000-8000-0000000d0003;FO-AC-2026-412;AC412;2026-04-10;e5f6a7b8-5555-4000-8000-0000000d0003;f6a7b8c9-6666-4000-8000-0000000d0003;C-FDMP;CAP-AC221;DSP-AC101;2026-04-10T11:05:00Z;;;;;;;;2026-04-10T11:00:00Z;4803.00;3674.29;240.15;384.24;288.18;96.06;72.05;48.03;4803.00;;AC412-20260410-YYZ;1;ASSIGNED;ACTIVE;;false;0;6490.00;;;;;;YOW;TRIPRECORD;OFP-AC412-20260410;Identical to S1 through the meter. Only the gauge differs.;2026-04-10T00:00:00Z;WPDEMO01_SEED;2026-04-10T00:00:00Z;WPDEMO01_SEED
