ID;order_ID;match_status;ticket_source;delivery_ID;ticket_number;internal_number;aircraft_reg;flight_number;quantity;uom_code;meter_start;meter_end;quantity_metered;density_value;density_uom;density_basis;density_temp_c;quantity_flag;quantity_kg;batch_coa_ref;delivery_timestamp;supplier_ticket_ref;status;verified_by;verified_at;created_at;created_by;modified_at;modified_by
b8c9d0e1-8888-4000-8000-00000000A001;f6a7b8c9-6666-4000-8000-00000000A006;MATCHED;M;a7b8c9d0-7777-4000-8000-00000000A002;BPUK-LHR-2026032501;FT-LHR-20260325-001;C-FITU;AC102;63800.00;KG;;;;;;MEA;;GR;63800.00;;2026-03-25T10:40:00Z;BP-UK-00567890;Closed;ops.manager@airline.com;2026-03-25T12:00:00Z;2026-03-25T10:40:00Z;station.lhr@airline.com;2026-03-25T12:00:00Z;ops.manager@airline.com
b8c9d0e1-8888-4000-8000-00000000A002;f6a7b8c9-6666-4000-8000-00000000A007;MATCHED;M;a7b8c9d0-7777-4000-8000-00000000A003;WFS-YYZ-2026032401;FT-YYZ-20260324-001;C-GROV;AC601;2180.00;KG;;;;;;MEA;;GR;2180.00;;2026-03-24T06:40:00Z;WFS-CA-00345678;Closed;ops.manager@airline.com;2026-03-24T08:00:00Z;2026-03-24T06:40:00Z;station.yyz@airline.com;2026-03-24T08:00:00Z;ops.manager@airline.com
28c9d0e1-8888-4000-8000-000000006001;f6a7b8c9-6666-4000-8000-000000006003;MATCHED;M;17b8c9d0-7777-4000-8000-000000006001;SUP-CEB-88001;FT-CEB-20260402-0001;RP-C8803;;35000.00;KG;;;;;;MEA;;GR;35000.00;;2026-04-02T06:35:00Z;BOWSER-1;Verified;;;2026-04-01T00:00:00Z;WP06_SEED;2026-04-01T00:00:00Z;WP06_SEED
28c9d0e1-8888-4000-8000-000000006002;f6a7b8c9-6666-4000-8000-000000006003;MATCHED;M;17b8c9d0-7777-4000-8000-000000006001;SUP-CEB-88002;FT-CEB-20260402-0002;RP-C8803;;25000.00;KG;;;;;;MEA;;GR;25000.00;;2026-04-02T06:55:00Z;BOWSER-2;Verified;;;2026-04-01T00:00:00Z;WP06_SEED;2026-04-01T00:00:00Z;WP06_SEED
28c9d0e1-8888-4000-8000-000000006003;;UNMATCHED;M;;SUP-MNL-99001;FT-MNL-20260404-0001;RP-C8804;PR1055;1800.00;KG;;;;;;MEA;;GR;1800.00;;2026-04-04T11:20:00Z;VERBAL-TOPUP;Open;;;2026-04-01T00:00:00Z;WP06_SEED;2026-04-01T00:00:00Z;WP06_SEED
38c9d0e1-8888-4000-8000-000000001201;f6a7b8c9-6666-4000-8000-000000006003;MATCHED;M;17b8c9d0-7777-4000-8000-000000001201;SUP-CEB-12001;FT-CEB-20260405-0001;RP-C8803;;15000.00;LTR;104200.00;119200.00;15000.00;0.8020;KGL;MEA;28.50;GR;12030.00;COA-CEB-2026-0405-A;2026-04-05T06:30:00Z;BOWSER-1;Verified;;;2026-04-05T00:00:00Z;WP12_SEED;2026-04-05T00:00:00Z;WP12_SEED
38c9d0e1-8888-4000-8000-000000001202;f6a7b8c9-6666-4000-8000-000000006003;MATCHED;M;17b8c9d0-7777-4000-8000-000000001201;SUP-CEB-12002;FT-CEB-20260405-0002;RP-C8803;;9000.00;LTR;55100.00;64100.00;9000.00;802.0000;KGM;MEA;28.50;GR;7218.00;COA-CEB-2026-0405-B;2026-04-05T06:40:00Z;BOWSER-2;Verified;;;2026-04-05T00:00:00Z;WP12_SEED;2026-04-05T00:00:00Z;WP12_SEED
38c9d0e1-8888-4000-8000-000000001203;;UNMATCHED;M;;SUP-MNL-12003;;RP-C8804;PR1060;5000.00;LTR;21000.00;25600.00;4600.00;0.7995;KGL;MEA;30.10;GR;3677.70;;2026-04-05T11:20:00Z;METER-MISMATCH;Open;;;2026-04-05T00:00:00Z;WP12_SEED;2026-04-05T00:00:00Z;WP12_SEED
38c9d0e1-8888-4000-8000-000000001204;;UNMATCHED;M;;SUP-MNL-12004;;RP-C8801;PR1061;3000.00;LTR;8000.00;11000.00;3000.00;;;MEA;;GR;;;2026-04-05T12:00:00Z;NO-DENSITY;Open;;;2026-04-05T00:00:00Z;WP12_SEED;2026-04-05T00:00:00Z;WP12_SEED
48c9d0e1-8888-4000-8000-000000001701;f6a7b8c9-6666-4000-8000-000000006001;MATCHED;M;27b8c9d0-7777-4000-8000-000000001701;SUP-MNL-17001;FT-MNL-20260407-0001;RP-C8801;;15000.00;LTR;300000.00;315000.00;15000.00;0.8020;KGL;MEA;28.00;GR;12030.00;;2026-04-07T08:00:00Z;BOWSER-A;Verified;;;2026-04-07T00:00:00Z;WP17_SEED;2026-04-07T00:00:00Z;WP17_SEED
