ID;rule_code;rule_name;description;company_code;supplier_category;product_type;applies_to;tolerance_type;lower_limit;upper_limit;is_percentage;currency_code;warning_threshold;error_threshold;critical_threshold;floor_value;floor_uom;block_on_exceed;require_dual_approval;priority;valid_from;valid_to;is_active;created_at;created_by;modified_at;modified_by
550e8400-e29b-41d4-a716-446655440901;TOL-PRICE-STD;Standard Price Tolerance;Default price variance tolerance for all suppliers;;;;;PRICE;-2.0000;2.0000;true;;;;;;;true;true;100;2025-01-01;;true;2025-01-01T00:00:00Z;admin@airline.com;2025-01-01T00:00:00Z;admin@airline.com
550e8400-e29b-41d4-a716-446655440902;TOL-QTY-STD;Standard Quantity Tolerance;Default quantity variance tolerance;;;;;QUANTITY;-5.0000;5.0000;true;;;;;;;true;true;100;2025-01-01;;true;2025-01-01T00:00:00Z;admin@airline.com;2025-01-01T00:00:00Z;admin@airline.com
550e8400-e29b-41d4-a716-446655440903;TOL-PRICE-MAJOR;Major Supplier Price Tolerance;Relaxed price tolerance for major suppliers;;MAJOR;;;PRICE;-3.0000;3.0000;true;;;;;;;true;true;50;2025-01-01;;true;2025-01-01T00:00:00Z;admin@airline.com;2025-01-01T00:00:00Z;admin@airline.com
550e8400-e29b-41d4-a716-446655440904;TOL-AMT-HIGH;High Value Amount Tolerance;Absolute amount tolerance for high-value invoices;1000;;;;AMOUNT;-5000.0000;5000.0000;false;USD;;;;;;true;true;75;2025-01-01;;true;2025-01-01T00:00:00Z;admin@airline.com;2025-01-01T00:00:00Z;admin@airline.com
550e8400-e29b-41d4-a716-446655440905;TOL-QTY-BULK;Bulk Delivery Quantity Tolerance;Higher quantity tolerance for bulk deliveries;;;JET_FUEL;;QUANTITY;-7.0000;7.0000;true;;;;;;;true;true;60;2025-01-01;;true;2025-01-01T00:00:00Z;admin@airline.com;2025-01-01T00:00:00Z;admin@airline.com
21a00007-0000-4000-8000-000000000001;TOL-INV-QTY;Invoice Line Quantity Ladder;Invoiced quantity against goods receipt. Four rungs, on absolute magnitude;;;;INVOICE_LINE;QUANTITY;-5.0000;5.0000;true;;0.5000;2.0000;5.0000;;;true;false;10;2025-01-01;;true;2025-01-01T00:00:00Z;admin@airline.com;2025-01-01T00:00:00Z;admin@airline.com
21a00007-0000-4000-8000-000000000002;TOL-INV-PRICE;Invoice Line Price Ladder;Invoiced unit price against the order price. Four rungs, on absolute magnitude;;;;INVOICE_LINE;PRICE;-3.0000;3.0000;true;;0.2500;1.0000;3.0000;;;true;false;10;2025-01-01;;true;2025-01-01T00:00:00Z;admin@airline.com;2025-01-01T00:00:00Z;admin@airline.com
13a00000-0000-4000-8000-000000000001;TOL-EPD-TEMP;Fuel temperature range;EPD403. Values moved unchanged from order-service.js and from the removed @assert.range;;;;DELIVERY_QUALITY;TEMPERATURE;-40.0000;50.0000;false;;;;;;;true;false;100;2025-01-01;;;2026-08-21T00:00:00Z;config.admin@airline.com;2026-08-21T00:00:00Z;config.admin@airline.com
13a00000-0000-4000-8000-000000000002;TOL-EPD-DENSITY;Jet A-1 density specification;EPD404. Values moved unchanged from order-service.js and from the removed @assert.range;;;;DELIVERY_QUALITY;DENSITY;0.7750;0.8400;false;;;;;;;true;false;100;2025-01-01;;;2026-08-21T00:00:00Z;config.admin@airline.com;2026-08-21T00:00:00Z;config.admin@airline.com
13a00000-0000-4000-8000-000000000003;TOL-BURN-VARIANCE;Burn variance ladder;NORMAL then WARNING then EXCEPTION then CRITICAL at 5, 10 and 20 percent. Moved unchanged from three sites;;;;FUEL_BURN;BURN_VARIANCE;;;true;;5.0000;10.0000;20.0000;;;false;false;100;2025-01-01;;;2026-08-21T00:00:00Z;config.admin@airline.com;2026-08-21T00:00:00Z;config.admin@airline.com
13a00000-0000-4000-8000-000000000004;TOL-FOB-ACARS;FOB reconciliation, ACARS;WP-17 constant, moved unchanged. Downlinked, high confidence;;;;DELIVERY_FOB;QUANTITY;-0.5000;0.5000;true;;;;;50.0000;KG;false;false;100;2025-01-01;;;2026-08-21T00:00:00Z;config.admin@airline.com;2026-08-21T00:00:00Z;config.admin@airline.com
13a00000-0000-4000-8000-000000000005;TOL-FOB-CREW_REPORTED;FOB reconciliation, crew reported;WP-17 constant, moved unchanged. 100 kg rounding, doubled;;;;DELIVERY_FOB;QUANTITY;-1.5000;1.5000;true;;;;;200.0000;KG;false;false;100;2025-01-01;;;2026-08-21T00:00:00Z;config.admin@airline.com;2026-08-21T00:00:00Z;config.admin@airline.com
13a00000-0000-4000-8000-000000000006;TOL-FOB-PANEL_PRESET;FOB reconciliation, panel preset;WP-17 constant, moved unchanged. Treated as crew reported because its error is never smaller;;;;DELIVERY_FOB;QUANTITY;-1.5000;1.5000;true;;;;;200.0000;KG;false;false;100;2025-01-01;;;2026-08-21T00:00:00Z;config.admin@airline.com;2026-08-21T00:00:00Z;config.admin@airline.com
